,PacketTime,X,Y,NormalPressure,DeltaT,DistJump,Velocity,PressurePrev,PressureCurr,IsBoundary,Trial
64,1540974662,3978,25476,0,5.0,49.47726750741192,9895.453501482385,0.0,0,False,0
65,1540974667,3961,25426,0,5.0,52.81098370604357,10562.196741208714,0.0,0,False,0
66,1540974672,3951,25381,0,5.0,46.09772228646444,9219.544457292888,0.0,0,False,0
67,1540974677,3940,25337,0,5.0,45.35416188179427,9070.832376358854,0.0,0,False,0
68,1540974682,3931,25294,0,5.0,43.93176527297759,8786.353054595518,0.0,0,False,0
69,1540974687,3918,25255,0,5.0,41.10960958218893,8221.921916437786,0.0,0,False,0
70,1540974692,3909,25220,0,5.0,36.138621999185304,7227.72439983706,0.0,0,False,0
71,1540974697,3901,25188,0,5.0,32.984845004941285,6596.969000988257,0.0,0,False,0
72,1540974702,3893,25161,0,5.0,28.160255680657446,5632.051136131489,0.0,0,False,0
73,1540974707,3884,25137,0,5.0,25.632011235952593,5126.402247190518,0.0,0,False,0
74,1540974712,3873,25119,0,5.0,21.095023109728988,4219.004621945797,0.0,0,False,0
75,1540974717,3866,25113,0,5.0,9.219544457292887,1843.9088914585773,0.0,0,False,0
76,1540974722,3861,25108,0,5.0,7.0710678118654755,1414.213562373095,0.0,0,False,0
77,1540974727,3856,25104,0,5.0,6.4031242374328485,1280.6248474865697,0.0,0,False,0
78,1540974732,3852,25102,0,5.0,4.47213595499958,894.4271909999159,0.0,0,False,0
79,1540974737,3848,25090,0,5.0,12.649110640673518,2529.8221281347037,0.0,0,False,0
80,1540974741,3845,25086,0,4.0,5.0,1250.0,0.0,0,False,0
81,1540974746,3842,25084,0,5.0,3.605551275463989,721.1102550927978,0.0,0,False,0
82,1540974751,3839,25083,0,5.0,3.1622776601683795,632.4555320336759,0.0,0,False,0
83,1540974756,3836,25082,0,5.0,3.1622776601683795,632.4555320336759,0.0,0,False,0
84,1540974761,3832,25080,0,5.0,4.47213595499958,894.4271909999159,0.0,0,False,0
85,1540974766,3824,25075,0,5.0,9.433981132056603,1886.7962264113205,0.0,0,False,0
86,1540974771,3818,25070,0,5.0,7.810249675906654,1562.0499351813307,0.0,0,False,0
87,1540974776,3812,25063,0,5.0,9.219544457292887,1843.9088914585773,0.0,0,False,0
88,1540974781,3805,25051,0,5.0,13.892443989449804,2778.4887978899606,0.0,0,False,0
89,1540974786,3799,25037,0,5.0,15.231546211727817,3046.3092423455632,0.0,0,False,0
90,1540974791,3792,25033,0,5.0,8.06225774829855,1612.4515496597098,0.0,0,False,0
91,1540974796,3785,25021,0,5.0,13.892443989449804,2778.4887978899606,0.0,0,False,0
92,1540974801,3781,25017,0,5.0,5.656854249492381,1131.370849898476,0.0,0,False,0
93,1540974806,3777,25009,0,5.0,8.94427190999916,1788.8543819998317,0.0,0,False,0
94,1540974811,3774,24996,0,5.0,13.341664064126334,2668.332812825267,0.0,0,False,0
95,1540974816,3771,24986,0,5.0,10.44030650891055,2088.06130178211,0.0,0,False,0
96,1540974821,3767,24975,0,5.0,11.704699910719626,2340.939982143925,0.0,0,False,0
97,1540974826,3762,24964,0,5.0,12.083045973594572,2416.6091947189143,0.0,0,False,0
98,1540974831,3752,24952,0,5.0,15.620499351813308,3124.0998703626615,0.0,0,False,0
99,1540974836,3744,24938,0,5.0,16.1245154965971,3224.9030993194197,0.0,0,False,0
100,1540974841,3738,24924,0,5.0,15.231546211727817,3046.3092423455632,0.0,0,False,0
101,1540974846,3731,24908,0,5.0,17.46424919657298,3492.8498393145956,0.0,0,False,0
102,1540974851,3724,24892,0,5.0,17.46424919657298,3492.8498393145956,0.0,0,False,0
103,1540974856,3718,24878,0,5.0,15.231546211727817,3046.3092423455632,0.0,0,False,0
104,1540974861,3711,24864,0,5.0,15.652475842498529,3130.495168499706,0.0,0,False,0
105,1540974866,3706,24851,0,5.0,13.92838827718412,2785.677655436824,0.0,0,False,0
106,1540974871,3702,24840,0,5.0,11.704699910719626,2340.939982143925,0.0,0,False,0
107,1540974876,3698,24828,0,5.0,12.649110640673518,2529.8221281347037,0.0,0,False,0
108,1540974881,3695,24818,0,5.0,10.44030650891055,2088.06130178211,0.0,0,False,0
109,1540974886,3691,24808,0,5.0,10.770329614269007,2154.0659228538016,0.0,0,False,0
110,1540974891,3687,24798,0,5.0,10.770329614269007,2154.0659228538016,0.0,0,False,0
111,1540974896,3682,24788,0,5.0,11.180339887498949,2236.06797749979,0.0,0,False,0
112,1540974901,3676,24777,0,5.0,12.529964086141668,2505.9928172283335,0.0,0,False,0
113,1540974906,3671,24766,0,5.0,12.083045973594572,2416.6091947189143,0.0,0,False,0
114,1540974911,3664,24753,0,5.0,14.7648230602334,2952.96461204668,0.0,0,False,0
115,1540974915,3658,24741,0,4.0,13.416407864998739,3354.1019662496847,0.0,0,False,0
116,1540974920,3650,24728,0,5.0,15.264337522473747,3052.8675044947495,0.0,0,False,0
117,1540974925,3644,24715,0,5.0,14.317821063276353,2863.5642126552707,0.0,0,False,0
118,1540974930,3638,24703,0,5.0,13.416407864998739,2683.281572999748,0.0,0,False,0
119,1540974935,3633,24692,0,5.0,12.083045973594572,2416.6091947189143,0.0,0,False,0
120,1540974940,3628,24682,0,5.0,11.180339887498949,2236.06797749979,0.0,0,False,0
121,1540974945,3624,24672,0,5.0,10.770329614269007,2154.0659228538016,0.0,0,False,0
122,1540974950,3619,24663,0,5.0,10.295630140987,2059.1260281974,0.0,0,False,0
123,1540974955,3616,24654,0,5.0,9.486832980505138,1897.3665961010277,0.0,0,False,0
124,1540974960,3612,24646,0,5.0,8.94427190999916,1788.8543819998317,0.0,0,False,0
125,1540974965,3609,24636,0,5.0,10.44030650891055,2088.06130178211,0.0,0,False,0
126,1540974970,3606,24627,0,5.0,9.486832980505138,1897.3665961010277,0.0,0,False,0
127,1540974975,3602,24617,0,5.0,10.770329614269007,2154.0659228538016,0.0,0,False,0
128,1540974980,3599,24606,0,5.0,11.40175425099138,2280.3508501982756,0.0,0,False,0
129,1540974985,3593,24596,0,5.0,11.661903789690601,2332.38075793812,0.0,0,False,0
130,1540974990,3586,24585,0,5.0,13.038404810405298,2607.6809620810595,0.0,0,False,0
131,1540974995,3577,24574,0,5.0,14.212670403551895,2842.534080710379,0.0,0,False,0
132,1540975000,3568,24561,0,5.0,15.811388300841896,3162.277660168379,0.0,0,False,0
133,1540975005,3557,24547,0,5.0,17.804493814764857,3560.8987629529715,0.0,0,False,0
134,1540975010,3546,24533,0,5.0,17.804493814764857,3560.8987629529715,0.0,0,False,0
135,1540975015,3534,24519,0,5.0,18.439088914585774,3687.8177829171545,0.0,0,False,0
136,1540975020,3520,24504,0,5.0,20.518284528683193,4103.656905736639,0.0,0,False,0
