PacketTime,X,Y,NormalPressure,DeltaT,DistJump,Velocity,PressurePrev,PressureCurr,Trial,segment_id,segment_label,letter_id,letter_label
96636951,4280,25951,0,5.0,112.64102272262978,22528.204544525957,0.0,0,0,-1,,-1,
96636956,4176,25959,0,5.0,104.30723848324239,20861.447696648476,0.0,0,0,-1,,-1,
96636961,4079,25963,0,5.0,97.082439194738,19416.4878389476,0.0,0,0,-1,,-1,
96636966,3988,25965,0,5.0,91.02197536858887,18204.395073717773,0.0,0,0,-1,,-1,
96636971,3901,25965,0,5.0,87.0,17400.0,0.0,0,0,-1,,-1,
96636976,3819,25957,0,5.0,82.38931969618392,16477.863939236784,0.0,0,0,-1,,-1,
96636981,3753,25938,0,5.0,68.6804193347711,13736.08386695422,0.0,0,0,-1,,-1,
96636986,3701,25929,0,5.0,52.773099207835045,10554.61984156701,0.0,0,0,-1,,-1,
96636991,3655,25905,0,5.0,51.884487084291386,10376.897416858277,0.0,0,0,-1,,-1,
96636996,3618,25878,0,5.0,45.803929962395145,9160.785992479028,0.0,0,0,-1,,-1,
96637001,3577,25845,0,5.0,52.630789467763066,10526.157893552612,0.0,0,0,-1,,-1,
96637006,3534,25807,0,5.0,57.38466694161429,11476.933388322857,0.0,0,0,-1,,-1,
96637011,3502,25767,0,5.0,51.22499389946279,10244.998779892558,0.0,0,0,-1,,-1,
96637016,3503,25756,0,5.0,11.045361017187261,2209.072203437452,0.0,0,0,-1,,-1,
96637021,3502,25734,0,5.0,22.02271554554524,4404.543109109048,0.0,0,0,-1,,-1,
96637026,3494,25715,0,5.0,20.615528128088304,4123.105625617661,0.0,0,0,-1,,-1,
96637031,3486,25699,0,5.0,17.88854381999832,3577.7087639996635,0.0,0,0,-1,,-1,
96637036,3452,25685,0,5.0,36.76955262170047,7353.910524340094,0.0,0,0,-1,,-1,
96637041,3430,25674,0,5.0,24.596747752497688,4919.349550499537,0.0,0,0,-1,,-1,
96637046,3406,25664,0,5.0,26.0,5200.0,0.0,0,0,-1,,-1,
96637051,3376,25664,0,5.0,30.0,6000.0,0.0,0,0,-1,,-1,
96637055,3344,25664,0,4.0,32.0,8000.0,0.0,0,0,-1,,-1,
96637060,3324,25664,0,5.0,20.0,4000.0,0.0,0,0,-1,,-1,
96637065,3305,25664,0,5.0,19.0,3800.0,0.0,0,0,-1,,-1,
96637070,3288,25664,0,5.0,17.0,3400.0,0.0,0,0,-1,,-1,
