letter_id,idx1,idx2,t1,t2,duration_ms,path_length,straight_line,linearity,width,height,aspect_ratio,mean_speed,mean_pressure,direction,n_loops,label,trial
1,0,74,0.0,0.368,368.0,1740.0261690748123,1085.5643693489576,0.6238781856517491,1218,507,2.4023668639053253,4723.671514910764,390.56,descending,1,letter_1,1
2,74,162,0.368,0.806,438.00000000000006,4365.455012872575,937.2817079192359,0.2147042416324162,936,1257,0.7446300715990454,10074.477646722296,10925.056179775282,descending,3,letter_2,1
3,162,243,0.806,1.208,401.9999999999999,3170.596343351556,1079.6341973094407,0.3405145532238226,999,553,1.806509945750452,7908.07080741856,11055.329268292682,descending,4,letter_3,1
4,243,276,1.208,1.373,165.00000000000003,1257.5834978394105,604.9876031787759,0.4810715186849811,327,746,0.4383378016085791,7768.386990089221,10642.058823529413,ascending,1,letter_4,1
5,276,344,1.373,1.711,338.00000000000006,2023.903369789377,659.2192351562567,0.3257167535744852,824,716,1.1508379888268156,6004.298610043707,10574.985507246376,ascending,1,letter_5,1
6,344,383,1.711,1.904,192.99999999999983,1283.1737718682011,598.0033444722529,0.4660345758171215,598,457,1.3085339168490153,6624.240668866063,10236.6,horizontal,1,letter_6,1
7,383,435,1.904,2.163,258.9999999999999,2029.185230373778,591.0076141641493,0.2912536545790278,599,705,0.849645390070922,7794.005147569558,10991.132075471698,horizontal,1,letter_7,1
8,435,506,2.163,2.516,353.0000000000002,2131.4946667638437,769.8233563617046,0.3611659782055632,748,860,0.8697674418604651,5990.478380317417,12653.291666666666,descending,1,letter_8,1
9,506,683,2.516,3.387,871.0,8625.626722644362,4682.893549932563,0.5429047303471679,2929,4917,0.595688427903193,10039.2943823091,1027.561797752809,ascending,1,letter_9,1
1,0,122,0.0,0.599,599.0,1770.9127952723395,797.4390258822301,0.45029830266690013,1045,397,2.632241813602015,3061.454535293686,475.7479674796748,descending,1,letter_1,2
2,122,177,0.599,0.873,274.0,3322.330102495704,877.9179916142509,0.2642476709207092,876,1386,0.6320346320346321,12057.873367895474,13616.035714285714,descending,1,letter_2,2
3,177,209,0.873,1.032,159.00000000000003,1314.8601693412968,521.5409859253633,0.3966512927276813,513,602,0.8521594684385382,8314.29094548348,13716.333333333334,descending,1,letter_3,2
4,209,338,1.032,1.662,629.9999999999999,3999.155108465824,960.6461367225706,0.24021227250950478,955,966,0.9886128364389234,,5060.384615384615,ascending,3,letter_4,2
5,338,382,1.662,1.877,215.00000000000009,1463.8536916831654,529.2730864119203,0.36156146575232706,529,628,0.8423566878980892,6913.1397697858165,10398.91111111111,descending,1,letter_5,2
6,382,420,1.877,2.066,188.99999999999983,1244.3084307042468,559.0223609123342,0.44926350020464123,559,473,1.1818181818181819,6617.035720220641,12851.307692307691,horizontal,1,letter_6,2
7,420,465,2.066,2.29,224.0000000000002,1895.6973684429922,538.3716188656308,0.28399660611852606,538,731,0.7359781121751026,8430.424824038913,14142.04347826087,ascending,1,letter_7,2
8,465,622,2.29,3.067,777.0000000000001,7630.999075760363,2675.812026282863,0.3506502883459256,3443,1464,2.351775956284153,9810.891878706227,7805.132911392405,descending,3,letter_8,2
