PacketTime,X,Y,NormalPressure,DeltaT,DistJump,PressurePrev,PressureCurr,NewTrial,Trial,segment_id,segment_label,letter_id,letter_label
270222836,35131,9843,7443,5.0,5.656854249492381,7411.0,7443,False,26,-1,,-1,
270222841,35128,9840,7571,5.0,4.242640687119285,7443.0,7571,False,26,-1,,-1,
270222846,35127,9838,7635,5.0,2.23606797749979,7571.0,7635,False,26,-1,,-1,
270222851,35127,9837,7699,5.0,1.0,7635.0,7699,False,26,-1,,-1,
270222856,35127,9835,7715,5.0,2.0,7699.0,7715,False,26,-1,,-1,
270222861,35127,9833,7747,5.0,2.0,7715.0,7747,False,26,-1,,-1,
270222866,35127,9831,7811,5.0,2.0,7747.0,7811,False,26,-1,,-1,
270222871,35128,9828,7875,5.0,3.1622776601683795,7811.0,7875,False,26,-1,,-1,
270222876,35134,9825,7923,5.0,6.708203932499369,7875.0,7923,False,26,-1,,-1,
270222881,35143,9821,7939,5.0,9.848857801796104,7923.0,7939,False,26,-1,,-1,
270222886,35154,9816,7971,5.0,12.083045973594572,7939.0,7971,False,26,-1,,-1,
270222891,35169,9809,8003,5.0,16.55294535724685,7971.0,8003,False,26,-1,,-1,
270222896,35188,9802,8003,5.0,20.248456731316587,8003.0,8003,False,26,-1,,-1,
270222901,35211,9795,8003,5.0,24.041630560342615,8003.0,8003,False,26,-1,,-1,
270222906,35238,9787,8019,5.0,28.160255680657446,8003.0,8019,False,26,-1,,-1,
270222911,35269,9780,8019,5.0,31.78049716414141,8019.0,8019,False,26,-1,,-1,
270222916,35302,9774,8003,5.0,33.54101966249684,8019.0,8003,False,26,-1,,-1,
270222921,35337,9769,8003,5.0,35.35533905932738,8003.0,8003,False,26,-1,,-1,
270222926,35371,9766,7971,5.0,34.132096331752024,8003.0,7971,False,26,-1,,-1,
270222931,35405,9764,7891,5.0,34.058772731852805,7971.0,7891,False,26,-1,,-1,
270222936,35438,9763,7843,5.0,33.015148038438355,7891.0,7843,False,26,-1,,-1,
270222941,35470,9763,7827,5.0,32.0,7843.0,7827,False,26,-1,,-1,
270222946,35502,9763,7795,5.0,32.0,7827.0,7795,False,26,-1,,-1,
270222951,35533,9763,7779,5.0,31.0,7795.0,7779,False,26,-1,,-1,
270222956,35561,9763,7731,5.0,28.0,7779.0,7731,False,26,-1,,-1,
270222961,35587,9764,7571,5.0,26.019223662515376,7731.0,7571,False,26,-1,,-1,
270222966,35610,9770,7491,5.0,23.769728648009426,7571.0,7491,False,26,-1,,-1,
270222971,35630,9777,7331,5.0,21.18962010041709,7491.0,7331,False,26,-1,,-1,
270222976,35648,9783,6931,5.0,18.973665961010276,7331.0,6931,False,26,-1,,-1,
270222980,35662,9790,6595,4.0,15.652475842498529,6931.0,6595,False,26,-1,,-1,
270222985,35671,9795,5986,5.0,10.295630140987,6595.0,5986,False,26,-1,,-1,
270222990,35677,9799,5378,5.0,7.211102550927978,5986.0,5378,False,26,-1,,-1,
270222995,35680,9802,4866,5.0,4.242640687119285,5378.0,4866,False,26,-1,,-1,
270223000,35680,9803,4209,5.0,1.0,4866.0,4209,False,26,-1,,-1,
270223005,35680,9804,3537,5.0,1.0,4209.0,3537,False,26,-1,,-1,
270223010,35680,9805,2977,5.0,1.0,3537.0,2977,False,26,-1,,-1,
270223015,35680,9806,2545,5.0,1.0,2977.0,2545,False,26,-1,,-1,
270223020,35680,9808,2465,5.0,2.0,2545.0,2465,False,26,-1,,-1,
270223025,35675,9810,2465,5.0,5.385164807134504,2465.0,2465,False,26,-1,,-1,
270223030,35669,9812,2545,5.0,6.324555320336759,2465.0,2545,False,26,-1,,-1,
