trial,segment_id,idx1,idx2,t1,t2,duration_ms,num_pauses,total_pause_duration_ms,net_writing_duration_ms,mean_speed,mean_pressure,path_length,label,unique_segment_id
1,1,203,760,1.381,4.136,2755.0,11,3241.0000000000014,-486.00000000000136,,5038.865591397849,8150.6228320347,test1,T1_S1
1,2,1161,1541,6.116,7.995,1879.0000000000005,5,1332.9999999999993,546.0000000000011,2819.804679777606,9954.887139107612,5222.4695649800415,tzesy2,T1_S2
2,1,1399,1816,6.944,9.013,2069.0,3,2420.9999999999986,-351.99999999999864,,16293.825358851675,5107.301915832726,test3,T2_S1
