letter_id,idx1,idx2,t1,t2,duration_ms,path_length,straight_line,linearity,width,height,aspect_ratio,mean_speed,mean_pressure,direction,n_loops,label,trial
1,0,106,0.0,0.527,527.0,539.1825633983968,208.07931180201456,0.3859162479040828,219,223,0.9820627802690582,1047.8579371373357,0.0,ascending,1,letter_1,4
2,106,505,0.527,2.513,1985.9999999999998,10259.746984311703,776.0856911449921,0.07564374563346578,2181,1364,1.598973607038123,5162.441183060793,5134.2075,ascending,7,letter_2,4
3,505,923,2.513,4.579,2066.0,7150.682252202176,1121.0017841199005,0.15676850747698498,1121,1181,0.9491955969517358,,9231.778042959428,horizontal,5,letter_3,4
4,923,2252,4.579,11.178,6599.000000000001,6307.845293155444,1098.825736866406,0.17419985522769982,1093,983,1.1119023397761953,,8852.506766917293,descending,7,letter_4,4
5,2252,2768,11.178,13.734,2555.999999999999,5823.22175591594,1119.9254439470512,0.19232059002549476,1122,894,1.25503355704698,2292.959274161076,13059.352030947775,descending,6,letter_5,4
6,2768,3476,13.734,17.804,4069.9999999999986,15259.379353007009,1847.631186140784,0.12108167333664788,3021,5082,0.5944510035419126,4204.369553764304,1092.033850493653,descending,1,letter_6,4
1,0,184,0.0,0.915,915.0,5410.471897105321,1643.6766713681861,0.3037954364475262,1904,1346,1.4145616641901932,5892.64639570793,766.5405405405405,descending,3,letter_1,5
2,184,301,0.915,1.497,582.0000000000001,1400.5132534536867,377.2161184254989,0.2693413414655508,330,585,0.5641025641025641,2417.9600340521006,9397.228813559323,ascending,1,letter_2,5
3,301,416,1.497,2.069,571.9999999999999,1423.0867715581644,385.36865466719007,0.27079772110118255,397,540,0.7351851851851852,2493.5608690954623,14627.146551724138,ascending,1,letter_3,5
4,416,674,2.069,3.349,1280.0000000000002,2587.5405925007612,660.1098393449381,0.25511091159616034,795,470,1.6914893617021276,2017.4602193582616,7411.440154440154,ascending,3,letter_4,5
5,674,792,3.349,3.935,585.9999999999999,1346.5335503050226,426.7083312990268,0.31689394683286354,424,457,0.9277899343544858,2311.0258249892554,13299.89075630252,ascending,1,letter_5,5
6,792,1101,3.935,5.457,1521.9999999999998,8268.839703314474,1388.2434944922306,0.1678885483698237,1307,1546,0.8454075032341527,,7864.5451612903225,descending,4,letter_6,5
